,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
2928,Copenhagen,0.4,0.006,0.03,0.049,1.241506527,1.1787467,1.333909946,1.48334167
2929,Copenhagen,0.4,0.004,0.25,0.049,0.211387053,0.17762147,0.180970964,0.197927342
2930,Copenhagen,0.4,0.004,0.31,0.049,0.184666308,0.152814138,0.154549412,0.167974836
2931,Copenhagen,0.4,0.006,0.09,0.049,0.463427666,0.427686259,0.478082251,0.526477955
2932,Copenhagen,0.4,0.004,0.35,0.049,0.171942189,0.141001173,0.141967777,0.153711804
2933,Copenhagen,0.4,0.006,0.05,0.049,0.774659147,0.728110363,0.820413241,0.909223338
2934,Copenhagen,0.4,0.006,0.15,0.049,0.307812083,0.277474387,0.306916975,0.33510552
2935,Copenhagen,0.4,0.006,0.21,0.049,0.241119825,0.213098026,0.233560616,0.253088982
2936,Copenhagen,0.4,0.006,0.01,0.049,3.575743744,3.431928747,3.901393908,4.353933841
2937,Copenhagen,0.4,0.006,0.11,0.049,0.392693281,0.359408102,0.400279813,0.439490438
2938,Copenhagen,0.4,0.006,0.07,0.049,0.574581744,0.534980556,0.600343287,0.663172698
2939,Copenhagen,0.4,0.006,0.27,0.049,0.204068676,0.177333501,0.192807229,0.20752441
2940,Copenhagen,0.4,0.006,0.17,0.049,0.280350546,0.250966452,0.276711389,0.301333974
2941,Copenhagen,0.4,0.006,0.33,0.049,0.180490758,0.154574356,0.166873375,0.178528913
2942,Copenhagen,0.4,0.006,0.23,0.049,0.226621536,0.199103196,0.217613619,0.235259345
2943,Copenhagen,0.4,0.006,0.13,0.049,0.343723347,0.312138637,0.34641662,0.37926835
2944,Copenhagen,0.4,0.006,0.29,0.049,0.195125317,0.168700709,0.182970235,0.196526101
2945,Copenhagen,0.4,0.006,0.19,0.049,0.258670403,0.230039154,0.252864898,0.274672255
2946,Copenhagen,0.4,0.006,0.35,0.049,0.174427883,0.148722025,0.160204695,0.171072958
2947,Copenhagen,0.4,0.008,0.03,0.049,1.259717729,1.247030823,1.453259977,1.586039165
2948,Copenhagen,0.4,0.006,0.25,0.049,0.214442985,0.187347553,0.20421816,0.22028247
2949,Copenhagen,0.4,0.008,0.09,0.049,0.470225515,0.452461879,0.5208581,0.562928065
2950,Copenhagen,0.4,0.006,0.31,0.049,0.18733595,0.161181838,0.174402545,0.186946944
2951,Copenhagen,0.4,0.008,0.01,0.049,3.628195011,3.630738418,4.250466561,4.655373564
