Location,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,Panel Replacement,LCOE
Paris,0,0.01,0.23,1.225,2,0.890686814
Paris,0,0.008,0.31,1.225,2,0.8547988
Paris,0,0.01,0.13,1.225,2,0.950299205
Paris,0,0.01,0.03,1.225,2,1.407329119
Paris,0,0.01,0.29,1.225,2,0.874653215
Paris,0,0.01,0.19,1.225,2,0.907001754
Paris,0,0.01,0.09,1.225,2,1.011236463
Paris,0,0.01,0.15,1.225,2,0.932018046
Paris,0,0.01,0.25,1.225,2,0.884487148
Paris,0,0.01,0.21,1.225,2,0.898067378
Paris,0,0.01,0.31,1.225,2,0.870687929
Paris,0,0.01,0.35,1.225,2,0.864116899
Paris,0,0.012,0.05,1.225,2,1.191827354
Paris,0,0.01,0.27,1.225,2,0.879205958
Paris,0,0.01,0.33,1.225,2,0.867203289
Paris,0,0.012,0.11,1.225,2,0.993699103
Paris,0,0.012,0.17,1.225,2,0.935426191
Paris,0,0.012,0.01,1.225,2,2.644768826
Paris,0,0.012,0.07,1.225,2,1.088045862
Paris,0,0.012,0.23,1.225,2,0.907556613
Paris,0,0.012,0.19,1.225,2,0.924180562
Paris,0,0.012,0.13,1.225,2,0.968298075
Paris,0,0.012,0.29,1.225,2,0.891219334
Paris,0,0.012,0.03,1.225,2,1.433984234
Paris,0,0.012,0.09,1.225,2,1.030389499
Paris,0,0.012,0.35,1.225,2,0.880483458
Paris,0,0.012,0.25,1.225,2,0.901239524
Paris,0,0.012,0.15,1.225,2,0.949670668
Paris,0,0.012,0.31,1.225,2,0.887178945
Paris,0,0.012,0.21,1.225,2,0.915076966
Paris,0,0.014,0.01,1.225,2,2.695828394
Paris,0,0.012,0.27,1.225,2,0.895858308
Paris,0,0.014,0.05,1.225,2,1.21483662
Paris,0,0.014,0.11,1.225,2,1.012883331
Paris,0,0.012,0.33,1.225,2,0.883628305
Paris,0,0.014,0.03,1.225,2,1.461668549
Paris,0,0.014,0.17,1.225,2,0.953485409
Paris,0,0.014,0.07,1.225,2,1.109051535
Paris,0,0.014,0.13,1.225,2,0.986991914
Paris,0,0.014,0.23,1.225,2,0.925077784
Paris,0,0.014,0.29,1.225,2,0.9084251
Paris,0,0.014,0.19,1.225,2,0.942022673
Paris,0,0.014,0.35,1.225,2,0.897481959
Paris,0,0.014,0.09,1.225,2,1.050282066
Paris,0,0.014,0.25,1.225,2,0.918638739
Paris,0,0.014,0.15,1.225,2,0.968004888
Paris,0,0.016,0.05,1.225,2,1.238751803
Paris,0,0.014,0.31,1.225,2,0.904306707
Paris,0,0.016,0.01,1.225,2,2.748898271
Paris,0,0.014,0.21,1.225,2,0.932743324
Paris,0,0.014,0.27,1.225,2,0.913153633
Paris,0,0.016,0.07,1.225,2,1.130884241
Paris,0,0.014,0.33,1.225,2,0.900687519
Paris,0,0.016,0.11,1.225,2,1.032822876
Paris,0,0.016,0.03,1.225,2,1.490442847
Paris,0,0.016,0.17,1.225,2,0.972255652
Paris,0,0.016,0.09,1.225,2,1.07095784
Paris,0,0.016,0.13,1.225,2,1.006421763
Paris,0,0.016,0.23,1.225,2,0.943288797
Paris,0,0.016,0.19,1.225,2,0.960567261
Paris,0,0.016,0.29,1.225,2,0.926308289
Paris,0,0.016,0.15,1.225,2,0.98706096
Paris,0,0.016,0.25,1.225,2,0.936722993
Paris,0,0.016,0.35,1.225,2,0.915149722
Paris,0,0.016,0.21,1.225,2,0.95110524
Paris,0,0.018,0.05,1.225,2,1.263627479
Paris,0,0.016,0.31,1.225,2,0.922108822
Paris,0,0.018,0.11,1.225,2,1.053563244
Paris,0,0.016,0.27,1.225,2,0.931129907
Paris,0,0.018,0.01,1.225,2,2.804099566
Paris,0,0.018,0.07,1.225,2,1.153593803
Paris,0,0.016,0.33,1.225,2,0.918418387
Paris,0,0.018,0.13,1.225,2,1.026631963
Paris,0,0.018,0.17,1.225,2,0.991779754
Paris,0,0.018,0.03,1.225,2,1.520372793
Paris,0,0.018,0.23,1.225,2,0.962231209
Paris,0,0.018,0.09,1.225,2,1.092464006
Paris,0,0.018,0.29,1.225,2,0.944909712
Paris,0,0.018,0.15,1.225,2,1.006882371
Paris,0,0.018,0.19,1.225,2,0.979856646
Paris,0,0.018,0.25,1.225,2,0.955533555
Paris,0,0.018,0.31,1.225,2,0.940625914
Paris,0,0.018,0.35,1.225,2,0.933527066
Paris,0,0.018,0.21,1.225,2,0.970204616
Paris,0,0.018,0.27,1.225,2,0.949828154
Paris,0.1,0,0.05,1.225,2,1.163882561
Paris,0,0.018,0.33,1.225,2,0.93686137
Paris,0.1,0,0.11,1.225,2,0.970399827
Paris,0.1,0,0.01,1.225,2,2.582756895
Paris,0.1,0,0.17,1.225,2,0.91349324
Paris,0.1,0,0.07,1.225,2,1.062534435
Paris,0.1,0,0.03,1.225,2,1.400361585
Paris,0.1,0,0.13,1.225,2,0.945594377
Paris,0.1,0,0.23,1.225,2,0.886277121
Paris,0.1,0,0.19,1.225,2,0.902511287
Paris,0.1,0,0.09,1.225,2,1.006229942
Paris,0.1,0,0.29,1.225,2,0.870322902
Paris,0.1,0,0.35,1.225,2,0.85983875
Paris,0.1,0,0.15,1.225,2,0.927403726
Paris,0.1,0,0.25,1.225,2,0.880108149
Paris,0.1,0,0.21,1.225,2,0.893621144
Paris,0.1,0,0.31,1.225,2,0.866377248
Paris,0.1,0.002,0.05,1.225,2,1.200826314
Paris,0.1,0.002,0.01,1.225,2,2.664738305
Paris,0.1,0,0.27,1.225,2,0.874853105
Paris,0.2,0.004,0.15,1.225,2,1.085051048
Paris,0.1,0,0.33,1.225,2,0.86290986
Paris,0.2,0.004,0.11,1.225,2,1.13535596
Paris,0.1,0.002,0.03,1.225,2,1.444811614
Paris,0.2,0.004,0.21,1.225,2,1.045525838
Paris,0.2,0.004,0.17,1.225,2,1.068775948
Paris,0.2,0.004,0.27,1.225,2,1.023567462
Paris,0.2,0.004,0.13,1.225,2,1.106333887
Paris,0.2,0.004,0.23,1.225,2,1.03693342
Paris,0.2,0.004,0.33,1.225,2,1.00959401
Paris,0.2,0.006,0.03,1.225,2,1.66712951
Paris,0.2,0.004,0.19,1.225,2,1.055927197
Paris,0.2,0.004,0.29,1.225,2,1.01826718
Paris,0.2,0.006,0.09,1.225,2,1.197916057
Paris,0.2,0.004,0.25,1.225,2,1.029715799
Paris,0.2,0.004,0.35,1.225,2,1.00600085
Paris,0.2,0.006,0.05,1.225,2,1.385601393
Paris,0.2,0.004,0.31,1.225,2,1.013650812
Paris,0.2,0.006,0.15,1.225,2,1.104073502
Paris,0.2,0.006,0.11,1.225,2,1.15526033
Paris,0.2,0.006,0.21,1.225,2,1.06385536
Paris,0.2,0.006,0.01,1.225,2,3.074770317
Paris,0.2,0.006,0.07,1.225,2,1.264946518
Paris,0.2,0.006,0.27,1.225,2,1.041512023
Paris,0.2,0.006,0.17,1.225,2,1.087513077
Paris,0.2,0.006,0.13,1.225,2,1.125729459
Paris,0.2,0.006,0.33,1.225,2,1.027293598
Paris,0.2,0.006,0.23,1.225,2,1.055112306
Paris,0.2,0.006,0.19,1.225,2,1.07443907
Paris,0.2,0.008,0.03,1.225,2,1.696878144
Paris,0.2,0.006,0.29,1.225,2,1.03611882
Paris,0.2,0.008,0.09,1.225,2,1.219291941
Paris,0.2,0.006,0.25,1.225,2,1.047768149
Paris,0.2,0.006,0.35,1.225,2,1.023637444
Paris,0.2,0.008,0.15,1.225,2,1.123774838
Paris,0.2,0.006,0.31,1.225,2,1.031421521
Paris,0.2,0.008,0.05,1.225,2,1.410326376
Paris,0.2,0.008,0.01,1.225,2,3.12963721
Paris,0.2,0.008,0.21,1.225,2,1.082839035
Paris,0.2,0.008,0.11,1.225,2,1.175875055
Paris,0.2,0.008,0.17,1.225,2,1.106918906
Paris,0.2,0.008,0.07,1.225,2,1.287518509
Paris,0.2,0.008,0.27,1.225,2,1.060096998
Paris,0.2,0.008,0.23,1.225,2,1.073939967
Paris,0.2,0.008,0.33,1.225,2,1.045624856
Paris,0.2,0.008,0.13,1.225,2,1.145817229
Paris,0.2,0.008,0.19,1.225,2,1.093611603
Paris,0.2,0.01,0.03,1.225,2,1.72770775
Paris,0.2,0.008,0.29,1.225,2,1.054607557
Paris,0.2,0.008,0.25,1.225,2,1.066464759
Paris,0.2,0.008,0.35,1.225,2,1.041903461
Paris,0.2,0.01,0.09,1.225,2,1.241444557
Paris,0.2,0.01,0.05,1.225,2,1.435949787
Paris,0.2,0.008,0.31,1.225,2,1.049826438
Paris,0.2,0.01,0.15,1.225,2,1.144192059
Paris,0.2,0.01,0.01,1.225,2,3.186497794
Paris,0.2,0.01,0.11,1.225,2,1.197238855
Paris,0.2,0.01,0.21,1.225,2,1.102512516
Paris,0.2,0.01,0.07,1.225,2,1.310910694
Paris,0.2,0.01,0.17,1.225,2,1.12702988
Paris,0.2,0.01,0.27,1.225,2,1.079357293
Paris,0.2,0.01,0.13,1.225,2,1.166634925
Paris,0.2,0.01,0.23,1.225,2,1.093451767
Paris,0.2,0.01,0.33,1.225,2,1.064622214
Paris,0.2,0.01,0.19,1.225,2,1.113480805
Paris,0.2,0.01,0.29,1.225,2,1.073768117
Paris,0.2,0.01,0.25,1.225,2,1.085840746
Paris,0.2,0.012,0.03,1.225,2,1.759678336
Paris,0.2,0.012,0.09,1.225,2,1.264417025
Paris,0.2,0.01,0.35,1.225,2,1.060833207
Paris,0.2,0.01,0.31,1.225,2,1.068900133
Paris,0.2,0.012,0.05,1.225,2,1.462521502
Paris,0.2,0.012,0.15,1.225,2,1.165364905
Paris,0.2,0.012,0.11,1.225,2,1.219393313
Paris,0.2,0.012,0.01,1.225,2,3.245462746
Paris,0.2,0.012,0.21,1.225,2,1.122914099
Paris,0.2,0.012,0.17,1.225,2,1.147885147
Paris,0.2,0.012,0.07,1.225,2,1.335168607
Paris,0.2,0.012,0.27,1.225,2,1.099330396
Paris,0.2,0.012,0.13,1.225,2,1.188223068
Paris,0.2,0.012,0.33,1.225,2,1.084322651
Paris,0.2,0.012,0.23,1.225,2,1.113685683
Paris,0.2,0.012,0.29,1.225,2,1.093637795
Paris,0.2,0.012,0.19,1.225,2,1.134085351
Paris,0.2,0.014,0.03,1.225,2,1.792854438
Paris,0.2,0.012,0.35,1.225,2,1.08046353
Paris,0.2,0.012,0.25,1.225,2,1.105933824
Paris,0.2,0.014,0.09,1.225,2,1.288255716
Paris,0.2,0.012,0.31,1.225,2,1.088679731
Paris,0.2,0.014,0.15,1.225,2,1.187336117
Paris,0.2,0.014,0.05,1.225,2,1.490095156
Paris,0.2,0.014,0.01,1.225,2,3.306651089
Paris,0.2,0.014,0.11,1.225,2,1.242383149
Paris,0.2,0.014,0.21,1.225,2,1.144084964
Paris,0.2,0.014,0.07,1.225,2,1.360341213
Paris,0.2,0.014,0.17,1.225,2,1.169526804
Paris,0.2,0.014,0.27,1.225,2,1.120056626
Paris,0.2,0.014,0.13,1.225,2,1.210625236
Paris,0.3,0.006,0.17,1.225,2,1.227888014
Paris,0.2,0.014,0.23,1.225,2,1.13468256
Paris,0.3,0.006,0.23,1.225,2,1.191304988
Paris,0.2,0.014,0.19,1.225,2,1.155466833
Paris,0.2,0.014,0.29,1.225,2,1.114256699
Paris,0.3,0.006,0.19,1.225,2,1.213126429
Paris,0.2,0.014,0.25,1.225,2,1.126784551
Paris,0.3,0.006,0.29,1.225,2,1.169859845
Paris,0.3,0.006,0.25,1.225,2,1.183012856
Paris,0.3,0.006,0.15,1.225,2,1.246586039
Paris,0.3,0.006,0.35,1.225,2,1.155767388
Paris,0.3,0.006,0.21,1.225,2,1.201176586
Paris,0.3,0.008,0.05,1.225,2,1.591930812
Paris,0.3,0.006,0.31,1.225,2,1.164556224
Paris,0.3,0.006,0.27,1.225,2,1.175949197
