Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Nairobi,0.1,0.018,0.01,1.225,2,2.340058356
Nairobi,0.1,0.018,0.11,1.225,2,0.90492114
Nairobi,0.1,0.018,0.07,1.225,2,0.986928905
Nairobi,0.1,0.018,0.17,1.225,2,0.854269364
Nairobi,0.1,0.018,0.21,1.225,2,0.836581485
Nairobi,0.1,0.018,0.27,1.225,2,0.819876315
Nairobi,0.1,0.018,0.13,1.225,2,0.882842147
Nairobi,0.1,0.018,0.19,1.225,2,0.844494479
Nairobi,0.1,0.018,0.33,1.225,2,0.809245801
Nairobi,0.1,0.018,0.23,1.225,2,0.830044672
Nairobi,0.1,0.018,0.29,1.225,2,0.815844045
Nairobi,0.2,0,0.03,1.225,2,1.05079891
Nairobi,0.2,0,0.09,1.225,2,0.764510375
Nairobi,0.1,0.018,0.35,1.225,2,0.80651225
Nairobi,0.1,0.018,0.25,1.225,2,0.824553755
Nairobi,0.1,0.018,0.31,1.225,2,0.812332073
Nairobi,0.2,0,0.05,1.225,2,0.87902576
Nairobi,0.2,0,0.15,1.225,2,0.707252755
Nairobi,0.2,0,0.21,1.225,2,0.682713837
Nairobi,0.2,0,0.11,1.225,2,0.73848417
Nairobi,0.2,0,0.01,1.225,2,1.909664806
Nairobi,0.2,0,0.07,1.225,2,0.805408716
Nairobi,0.2,0,0.17,1.225,2,0.697148486
Nairobi,0.2,0,0.23,1.225,2,0.677379302
Nairobi,0.2,0,0.13,1.225,2,0.72046604
Nairobi,0.2,0,0.27,1.225,2,0.669081153
Nairobi,0.2,0,0.33,1.225,2,0.660405849
Nairobi,0.2,0,0.19,1.225,2,0.689171439
Nairobi,0.2,0,0.25,1.225,2,0.672898299
Nairobi,0.2,0.002,0.03,1.225,2,1.105437141
Nairobi,0.2,0,0.29,1.225,2,0.665790516
Nairobi,0.2,0,0.35,1.225,2,0.658175064
Nairobi,0.2,0.002,0.09,1.225,2,0.804262504
Nairobi,0.2,0.002,0.05,1.225,2,0.924732328
Nairobi,0.2,0,0.31,1.225,2,0.662924481
Nairobi,0.2,0.002,0.15,1.225,2,0.744027668
Nairobi,0.2,0.002,0.01,1.225,2,2.008961356
Nairobi,0.2,0.002,0.11,1.225,2,0.776883019
Nairobi,0.2,0.002,0.21,1.225,2,0.718212804
Nairobi,0.2,0.002,0.27,1.225,2,0.703871264
Nairobi,0.2,0.002,0.07,1.225,2,0.84728743
Nairobi,0.2,0.002,0.17,1.225,2,0.73339801
Nairobi,0.2,0.002,0.13,1.225,2,0.757928003
Nairobi,0.2,0.002,0.23,1.225,2,0.712600891
Nairobi,0.2,0.002,0.33,1.225,2,0.694744871
Nairobi,0.2,0.002,0.19,1.225,2,0.725006182
Nairobi,0.2,0.002,0.29,1.225,2,0.700409524
Nairobi,0.2,0.004,0.03,1.225,2,1.13816883
Nairobi,0.2,0.002,0.25,1.225,2,0.707886889
Nairobi,0.2,0.004,0.09,1.225,2,0.828076496
Nairobi,0.2,0.002,0.35,1.225,2,0.692398093
Nairobi,0.2,0.002,0.31,1.225,2,0.697394464
Nairobi,0.2,0.004,0.15,1.225,2,0.766058123
Nairobi,0.2,0.004,0.05,1.225,2,0.952113398
Nairobi,0.2,0.004,0.11,1.225,2,0.799886312
Nairobi,0.2,0.004,0.21,1.225,2,0.739478888
Nairobi,0.2,0.004,0.01,1.225,2,2.068446149
Nairobi,0.2,0.004,0.17,1.225,2,0.755113723
Nairobi,0.2,0.004,0.07,1.225,2,0.872375378
Nairobi,0.2,0.004,0.27,1.225,2,0.724712699
Nairobi,0.2,0.004,0.13,1.225,2,0.780370043
Nairobi,0.2,0.004,0.23,1.225,2,0.733700807
Nairobi,0.2,0.004,0.33,1.225,2,0.715316076
Nairobi,0.2,0.004,0.19,1.225,2,0.746473415
Nairobi,0.2,0.004,0.29,1.225,2,0.721148457
Nairobi,0.2,0.004,0.25,1.225,2,0.728847225
Nairobi,0.2,0.006,0.03,1.225,2,1.172898018
Nairobi,0.2,0.004,0.35,1.225,2,0.71289981
Nairobi,0.2,0.006,0.09,1.225,2,0.85334377
Nairobi,0.2,0.006,0.15,1.225,2,0.789433018
Nairobi,0.2,0.004,0.31,1.225,2,0.718044122
Nairobi,0.2,0.006,0.05,1.225,2,0.981165437
Nairobi,0.2,0.006,0.21,1.225,2,0.762042765
Nairobi,0.2,0.006,0.01,1.225,2,2.131561087
Nairobi,0.2,0.006,0.27,1.225,2,0.746826011
Nairobi,0.2,0.006,0.11,1.225,2,0.824293413
Nairobi,0.2,0.006,0.17,1.225,2,0.778154669
Nairobi,0.2,0.006,0.07,1.225,2,0.898994354
Nairobi,0.2,0.006,0.33,1.225,2,0.737142667
Nairobi,0.2,0.006,0.23,1.225,2,0.756088376
Nairobi,0.2,0.006,0.13,1.225,2,0.80418164
Nairobi,0.2,0.006,0.29,1.225,2,0.743153013
Nairobi,0.2,0.006,0.19,1.225,2,0.769250717
Nairobi,0.2,0.008,0.03,1.225,2,1.209813309
Nairobi,0.2,0.006,0.25,1.225,2,0.751086696
Nairobi,0.2,0.006,0.35,1.225,2,0.734652674
Nairobi,0.2,0.008,0.09,1.225,2,0.880201547
Nairobi,0.2,0.006,0.31,1.225,2,0.739953956
Nairobi,0.2,0.008,0.15,1.225,2,0.814279295
Nairobi,0.2,0.008,0.05,1.225,2,1.012046218
Nairobi,0.2,0.008,0.01,1.225,2,2.198648929
Nairobi,0.2,0.008,0.21,1.225,2,0.786026973
Nairobi,0.2,0.008,0.11,1.225,2,0.850236872
Nairobi,0.2,0.008,0.27,1.225,2,0.770331294
Nairobi,0.2,0.008,0.07,1.225,2,0.927288918
Nairobi,0.2,0.008,0.17,1.225,2,0.802645976
Nairobi,0.2,0.008,0.33,1.225,2,0.760343181
Nairobi,0.2,0.008,0.23,1.225,2,0.779885178
Nairobi,0.2,0.008,0.13,1.225,2,0.829492109
Nairobi,0.2,0.01,0.03,1.225,2,1.249127824
Nairobi,0.2,0.008,0.29,1.225,2,0.766542694
Nairobi,0.2,0.008,0.19,1.225,2,0.793461786
Nairobi,0.2,0.008,0.35,1.225,2,0.757774818
Nairobi,0.2,0.008,0.25,1.225,2,0.774726077
Nairobi,0.2,0.01,0.09,1.225,2,0.908804883
Nairobi,0.2,0.01,0.05,1.225,2,1.044934025
Nairobi,0.2,0.008,0.31,1.225,2,0.76324295
Nairobi,0.2,0.01,0.01,1.225,2,2.270096992
Nairobi,0.2,0.01,0.15,1.225,2,0.840740399
Nairobi,0.2,0.01,0.11,1.225,2,0.877866466
Nairobi,0.2,0.01,0.21,1.225,2,0.81156998
Nairobi,0.2,0.01,0.07,1.225,2,0.957422422
Nairobi,0.2,0.01,0.17,1.225,2,0.82872904
Nairobi,0.2,0.01,0.13,1.225,2,0.856447574
Nairobi,0.2,0.01,0.27,1.225,2,0.795364249
Nairobi,0.2,0.01,0.23,1.225,2,0.805228599
Nairobi,0.2,0.01,0.33,1.225,2,0.785051558
Nairobi,0.2,0.01,0.19,1.225,2,0.819246397
Nairobi,0.2,0.012,0.03,1.225,2,1.291083318
Nairobi,0.2,0.01,0.29,1.225,2,0.791452532
Nairobi,0.2,0.01,0.25,1.225,2,0.799901846
Nairobi,0.2,0.012,0.09,1.225,2,0.939329668
Nairobi,0.2,0.01,0.35,1.225,2,0.782399733
Nairobi,0.2,0.012,0.05,1.225,2,1.080031092
Nairobi,0.2,0.012,0.15,1.225,2,0.868979045
Nairobi,0.2,0.01,0.31,1.225,2,0.788045559
Nairobi,0.2,0.012,0.11,1.225,2,0.907352096
Nairobi,0.2,0.012,0.01,1.225,2,2.346344625
Nairobi,0.2,0.012,0.21,1.225,2,0.838828855
Nairobi,0.2,0.012,0.07,1.225,2,0.989580164
